,date,score
0,15-07-16,0.48717948717948717
1,15-07-17,0.4090909090909091
2,15-07-18,0.4375
3,15-07-19,0.3333333333333333
4,15-07-20,0.40540540540540543
5,15-07-21,0.3548387096774194
6,15-07-22,0.4594594594594595
7,15-07-23,0.3953488372093023
8,15-07-24,0.37142857142857144
9,15-07-25,0.36
10,15-07-26,0.41025641025641024
11,15-07-27,0.2604166666666667
12,15-07-28,0.3787878787878788
13,15-07-29,0.4642857142857143
14,15-07-30,0.18518518518518517
15,15-07-31,0.36666666666666664
16,15-08-01,0.35714285714285715
17,15-08-02,0.16666666666666666
18,15-08-03,0.3617021276595745
19,15-08-04,0.3275862068965517
20,15-08-05,0.3333333333333333
21,15-08-06,0.3611111111111111
22,15-08-07,0.31666666666666665
23,15-08-08,0.5
24,15-08-09,0.25
25,15-08-10,0.3181818181818182
26,15-08-11,0.40476190476190477
27,15-08-12,0.35714285714285715
28,15-08-13,0.25
29,15-08-14,0.16666666666666666
30,15-08-15,0.0
31,15-08-16,0.125
32,15-08-17,0.15789473684210525
33,15-08-18,0.35714285714285715
34,15-08-19,0.1
35,15-08-20,0.1875
36,15-08-21,0.43333333333333335
37,15-08-22,0.46153846153846156
38,15-08-23,0.5
39,15-08-24,0.3076923076923077
40,15-08-25,0.3783783783783784
41,15-08-26,0.08333333333333333
42,15-08-27,0.25
43,15-08-28,0.25
44,15-08-29,0.125
45,15-08-30,0.16666666666666666
46,15-08-31,0.25
47,15-09-01,0.42857142857142855
48,15-09-02,0.47058823529411764
49,15-09-03,0.42857142857142855
50,15-09-04,0.125
51,15-09-05,0.4166666666666667
52,15-09-06,0.3333333333333333
53,15-09-07,0.3064516129032258
54,15-09-08,0.25
55,15-09-09,0.6428571428571429
56,15-09-10,0.25
57,15-09-11,0.2916666666666667
58,15-09-12,0.23863636363636365
59,15-09-13,1.0
60,15-09-14,0.13636363636363635
61,15-09-15,0.17857142857142858
62,15-09-16,0.20833333333333334
63,15-09-17,0.20833333333333334
64,15-09-18,0.125
65,15-09-19,0.5
66,15-09-20,0.1
67,15-09-21,0.44680851063829785
68,15-09-22,0.5
69,15-09-23,0.375
70,15-09-24,0.46153846153846156
71,15-09-25,0.4722222222222222
72,15-09-26,0.28125
73,15-09-28,0.28
74,15-09-29,0.35714285714285715
75,15-09-30,0.3076923076923077
76,15-10-01,0.38636363636363635
77,15-10-02,0.19230769230769232
78,15-10-03,0.2826086956521739
79,15-10-04,0.3548387096774194
80,15-10-05,0.25
81,15-10-06,0.32954545454545453
82,15-10-07,0.3958333333333333
83,15-10-08,0.23076923076923078
84,15-10-09,0.1956521739130435
85,15-10-10,0.20454545454545456
86,15-10-11,0.0
87,15-10-12,0.16666666666666666
88,15-10-13,0.3787878787878788
89,15-10-14,0.36585365853658536
90,15-10-15,0.32142857142857145
91,15-10-16,0.28846153846153844
92,15-10-17,0.25
93,15-10-18,0.375
94,15-10-19,0.4444444444444444
95,15-10-20,0.3333333333333333
96,15-10-21,0.22972972972972974
97,15-10-22,0.2
98,15-10-23,0.125
99,15-10-24,0.3684210526315789
100,15-10-25,0.2978723404255319
101,15-10-26,0.4230769230769231
102,15-10-27,0.3055555555555556
103,15-10-28,0.3076923076923077
104,15-10-29,0.14285714285714285
105,15-10-30,0.11538461538461539
106,15-10-31,0.3275862068965517
107,15-11-01,0.5384615384615384
108,15-11-02,0.2608695652173913
109,15-11-03,0.32608695652173914
110,15-11-04,0.30434782608695654
111,15-11-05,0.6818181818181818
112,15-11-06,0.47368421052631576
113,15-11-07,0.2962962962962963
114,15-11-08,0.21621621621621623
115,15-11-09,0.3
116,15-11-10,0.31666666666666665
117,15-11-11,0.25
118,15-11-12,0.6304347826086957
119,15-11-13,0.5357142857142857
120,15-11-14,0.3181818181818182
121,15-11-15,0.4772727272727273
122,15-11-16,0.20454545454545456
123,15-11-17,0.3125
124,15-11-18,0.07142857142857142
125,15-11-19,0.4411764705882353
126,15-11-20,0.5
127,15-11-21,0.26851851851851855
128,15-11-22,0.32608695652173914
129,15-11-23,0.5833333333333334
130,15-11-24,0.25
131,15-11-25,0.34375
132,15-11-26,0.40625
133,15-11-27,0.5
134,15-11-28,0.22727272727272727
135,15-11-29,0.4666666666666667
136,15-11-30,0.3181818181818182
137,15-12-01,0.2631578947368421
138,15-12-02,0.4318181818181818
139,15-12-03,0.21666666666666667
140,15-12-04,0.2857142857142857
141,15-12-05,0.1875
142,15-12-06,0.40384615384615385
143,15-12-07,0.41025641025641024
144,15-12-08,0.175
145,15-12-09,0.3541666666666667
146,15-12-10,0.4230769230769231
147,15-12-11,0.13636363636363635
148,15-12-12,0.2608695652173913
149,15-12-13,0.4142857142857143
150,15-12-14,0.34210526315789475
151,15-12-15,0.3888888888888889
152,15-12-16,0.24074074074074073
153,15-12-17,0.5
154,15-12-18,0.6428571428571429
155,15-12-19,0.375
156,15-12-20,0.5357142857142857
157,15-12-21,0.4523809523809524
158,15-12-22,0.5
159,15-12-23,0.5526315789473685
160,15-12-24,0.5
161,15-12-27,0.5833333333333334
162,15-12-28,0.3888888888888889
163,15-12-29,0.23809523809523808
164,15-12-30,0.3157894736842105
165,15-12-31,0.38636363636363635
166,16-01-01,0.25
167,16-01-02,0.2727272727272727
168,16-01-03,0.4791666666666667
169,16-01-04,0.2
170,16-01-05,0.16666666666666666
171,16-01-06,0.2894736842105263
172,16-01-07,0.7857142857142857
173,16-01-08,0.21428571428571427
174,16-01-09,0.2
175,16-01-10,0.13333333333333333
176,16-01-11,0.22727272727272727
177,16-01-12,0.25
